No,Score,Balls,Strike Rate,Player,Team,Opposition,Innings,Venue,City,Date,Result
1,158*,73,216.43,Brendon McCullum,Kolkata Knight Riders,Royal Challengers Bengaluru,1,M. Chinnaswamy Stadium, Bengaluru,18-Apr-08,Won
2,116*,54,214.81,Michael Hussey,Chennai Super Kings,Punjab Kings,1,PCA Stadium, Mohali,19-Apr-08,Won
3,117*,53,220.75,Andrew Symonds,Sunrisers Hyderabad,Rajasthan Royals,1,Rajiv Gandhi International Cricket Stadium, Hyderabad,24-Apr-08,Lost
4,109*,47,231.91,Adam Gilchrist,Sunrisers Hyderabad,Mumbai Indians,2,Wankhede Stadium, Mumbai,27-Apr-08,Won
5,114*,48,237.5,Sanath Jayasuriya,Mumbai Indians,Chennai Super Kings,2,Wankhede Stadium, Mumbai,14-May-08,Won
6,115,69,166.66,Shaun Marsh,Punjab Kings,Rajasthan Royals,1,PCA Stadium, Mohali,28-May-08,Won
7,105*,54,194.44,AB de Villiers,Delhi Capitals,Chennai Super Kings,1,Kingsmead Cricket Ground, Durban,23-Apr-09,Won
8,114*,73,156.16,Manish Pandey,Royal Challengers Bengaluru,Sunrisers Hyderabad,1,SuperSport Park, Centurion,21-May-09,Won
9,100,37,270.27,Yusuf Pathan,Rajasthan Royals,Mumbai Indians,2,Brabourne Stadium, Mumbai,13-Mar-10,Lost
10,107*,69,155.07,David Warner,Delhi Capitals,Kolkata Knight Riders,1,Feroz Shah Kotla Ground, Delhi,29-Mar-10,Won
11,127,56,226.78,Murali Vijay,Chennai Super Kings,Rajasthan Royals,1,MA Chidambaram Stadium, Chennai,03-Apr-10,Won
12,110*,59,186.44,Mahela Jayawardene,Punjab Kings,Kolkata Knight Riders,2,Eden Gardens, Kolkata,04-Apr-10,Won
13,120*,63,190.47,Paul Valthaty,Punjab Kings,Chennai Super Kings,2,PCA Stadium, Mohali,13-Apr-11,Won
14,100*,66,151.51,Sachin Tendulkar,Mumbai Indians,Kochi Tuskers Kerala,1,Wankhede Stadium, Mumbai,15-Apr-11,Lost
15,102*,55,185.45,Chris Gayle,Royal Challengers Bengaluru,Kolkata Knight Riders,2,Eden Gardens, Kolkata,22-Apr-11,Won
16,119,56,212.5,Virender Sehwag,Delhi Capitals,Sunrisers Hyderabad,2,Rajiv Gandhi International Cricket Stadium, Hyderabad,05-May-11,Won
17,107,49,218.36,Chris Gayle,Royal Challengers Bengaluru,Punjab Kings,1,M. Chinnaswamy Stadium, Bengaluru,06-May-11,Won
